bowler_name,bowler_id,overs,maidens,runs,wides,wickets,no_balls,team_name,team_id,opposition_name,opposition_id,innings,match_id,initial_name,balls,0
Viral Bhavsar,5974971,4.0,0.0,18.0,0.0,1,0.0,Ley Hill CC - 2nd XI,119465.0,"Northwood Town CC, Middlesex - 4th XI",277347.0,2.0,6804656,V Bhavsar,24.0,
K Patel,6682063,4,1.0,18.0,2.0,1,0.0,Goodwill Wanderers CC - Friendly XI,192284.0,Ley Hill CC - Sunday 1st XI,216373.0,1.0,7074455,K Patel,24.0,
Jon Humphreys,4944051,8,0.0,19.0,0.0,1,0.0,Ley Hill CC - 2nd XI,119465.0,Harpenden CC - 6th XI,116317.0,1.0,6804665,J Humphreys,48.0,
Davinder Singh,6641800,6,1.0,21.0,1.0,1,0.0,Berkhamsted CC - Saturday 4th XI,76555.0,Ley Hill CC - 2nd XI,119465.0,2.0,6804661,D Singh,36.0,
Dhaval Shah,6210157,8.0,1.0,21.0,0.0,1,0.0,"Northwood Town CC, Middlesex - 4th XI",277347.0,Ley Hill CC - 2nd XI,119465.0,1.0,6804656,D Shah,48.0,
Luke Bell,4399956,7,1.0,22.0,2.0,1,1.0,Ley Hill CC - 2nd XI,119465.0,Berkhamsted CC - Saturday 4th XI,76555.0,1.0,6804661,L Bell,42.0,
Ganesh Jambulingam,6262102,8.0,1.0,23.0,0.0,1,0.0,"Northwood Town CC, Middlesex - 4th XI",277347.0,Ley Hill CC - 2nd XI,119465.0,1.0,6804656,G Jambulingam,48.0,
Jon Humphreys,4944051,8,1.0,24.0,0.0,1,0.0,Ley Hill CC - 2nd XI,119465.0,West Herts CC - 6th XI,302557.0,1.0,6804671,J Humphreys,48.0,
Stanley Babukutty,6210378,8.0,3.0,25.0,0.0,1,0.0,"Northwood Town CC, Middlesex - 4th XI",277347.0,Ley Hill CC - 2nd XI,119465.0,1.0,6804656,S Babukutty,48.0,
James Lagdon,4576697,8,2.0,25.0,0.0,1,0.0,Ley Hill CC - 2nd XI,119465.0,West Herts CC - 6th XI,302557.0,1.0,6804671,J Lagdon,48.0,
Jamie Valentine,4524064,4,0.0,26.0,0.0,1,0.0,Ley Hill CC - Sunday 1st XI,216373.0,Soho Cricket Collective - Friendly XI,207493.0,2.0,7074449,J Valentine,24.0,
Freddie Ventham,5552337,2,0.0,28.0,0.0,1,1.0,Ley Hill CC - Sunday 1st XI,216373.0,Chelsea Nomads CC - 1st XI,196012.0,2.0,7074454,F Ventham,12.0,
Geoffrey Sussum,4951380,5,0.0,30.0,5.0,1,1.0,Ley Hill CC - 2nd XI,119465.0,West Herts CC - 6th XI,302557.0,1.0,6804671,G Sussum,30.0,
