position,batsman_name,batsman_id,how_out,fielder_name,fielder_id,bowler_name,bowler_id,runs,fours,sixes,balls,team_name,team_id,opposition_name,opposition_id,innings,match_id,not_out,initial_name
3,Max Lee,1809919,b,,,Jason Twist,5158958,9,0,0,35,Ley Hill CC - 1st XI,54824,Flitwick CC - 3rd XI,20669,2,6803476,0.0,M Lee
10,Adam Gundy,5900485,ct,Chris Morris,3846114,Jonny Carpenter,5516200,8,2,0,9,Watton-at-Stone CC - 1st XI,159131,Ley Hill CC - 1st XI,54824,2,6803484,0.0,A Gundy
11,A Ameer,6373509,not out,,,,,8,1,0,9,Goodwill Wanderers CC - Friendly XI,192284,Ley Hill CC - Sunday 1st XI,216373,2,7074455,1.0,A Ameer
4,Uma Saraswat,5597955,ct,Unsure,,Jamie Valentine,4524064,8,2,0,11,Chesham Bois CC - Friendly XI,39794,Ley Hill CC - Sunday 1st XI,216373,2,7074453,0.0,U Saraswat
2,Joe Wing,1802007,b,,,Ted Sussum,4951412,8,1,0,12,Watton-at-Stone CC - 1st XI,159131,Ley Hill CC - 1st XI,54824,2,6803484,0.0,J Wing
4,Wayne Davies,4446838,lbw,,,Alastair Gerrard,6240991,8,1,0,14,Ley Hill CC - 2nd XI,119465,Berkhamsted CC - Saturday 4th XI,76555,2,6804661,0.0,W Davies
7,K Malik,,b,,,Jamie Valentine,4524064,8,1,0,15,Soho Cricket Collective - Friendly XI,207493,Ley Hill CC - Sunday 1st XI,216373,2,7074449,0.0,K Malik
5,Vandit Maram,4961350,ct,Yusuf Khan,4940735,Scott Peterson,5483704,8,1,0,18,Flitwick CC - 3rd XI,20669,Ley Hill CC - 1st XI,54824,1,6803476,0.0,V Maram
4,Amit Dam,6669863,run out,James Lagdon,4576697,,,7,0,0,0,Harpenden CC - 6th XI,116317,Ley Hill CC - 2nd XI,119465,1,6804665,0.0,A Dam
8,Harry Field,3909858,not out,,,,,7,0,0,0,Harpenden CC - 6th XI,116317,Ley Hill CC - 2nd XI,119465,1,6804665,1.0,H Field
8,Sajid Mahmood,6280079,b,,,Viral Bhavsar,5974971,7,1,0,6,West Herts CC - 6th XI,302557,Ley Hill CC - 2nd XI,119465,1,6804671,0.0,S Mahmood
6,Rob Leybourne,5363547,b,,,Mark Schumann,15786,7,1,0,10,Ley Hill CC - 1st XI,54824,Ickleford CC - 2nd XI,58647,1,6803474,0.0,R Leybourne
1,Justin Hutchins,3570739,ct,Kamil Pervaiz,5270890,Sajid Mahmood,6280079,7,1,0,12,Ley Hill CC - 2nd XI,119465,West Herts CC - 6th XI,302557,2,6804671,0.0,J Hutchins
9,Hunmbal Khan,6175670,b,,,Jamie Valentine,4524064,7,1,0,15,Berkhamsted CC - Saturday 4th XI,76555,Ley Hill CC - 2nd XI,119465,1,6804661,0.0,H Khan
